vendor_name,category,name,unit,price_cents,in_stock,product_code
CD Fish S.r.l.,Seafood,723 Polpo in Vaschetta 1kg,Kg,1190,true,
CD Fish S.r.l.,Seafood,372 Scampi 1/5 Porcupine,Unit,5550,true,
CD Fish S.r.l.,Seafood,321 Scampi 6/10 Porcupine,Unit,4550,true,
CD Fish S.r.l.,Seafood,443 Scampi 11/15 Porcupine,Unit,3400,true,
CD Fish S.r.l.,Seafood,432 Scampi 16/20 Porcupine,Unit,2950,true,
CD Fish S.r.l.,Seafood,504 Scampi 21/30 Porcupine,Unit,2350,true,
CD Fish S.r.l.,Seafood,197 Scampi 41/50 Porcupine,Unit,1190,true,
CD Fish S.r.l.,Seafood,745 Seppie Nere 100/300,Unit,790,true,
CD Fish S.r.l.,Seafood,433 Spiedini,Unit,15,true,
CD Fish S.r.l.,Seafood,489 Gambero Rosso XL,Unit,5000,true,
