vendor_name,category,name,unit,price_cents,in_stock,product_code
General Beverage Distributor,Beverage,"04171 SAN PELLEG. CHINOTTO CL.20X24 0,20 CRT 24 18,00",Case,75,true,
General Beverage Distributor,Beverage,"04319 SAN PELLEG. GINGER BEER CL 20X24 0,20 CRT 24 18,00",Case,75,true,
General Beverage Distributor,Beverage,"04071 SAN PELLEG.ARANC.AMARA CL20*24  BIO 0,20 CRT 24 18,00",Case,75,true,
General Beverage Distributor,Beverage,"04173 SAN PELLEG.ARANC.DOLCE CL20 X 24 0,20 CRT 24 18,00",Case,75,true,
General Beverage Distributor,Beverage,"04080 SAN PELLEG.COCKTAIL RED CL.20X 24 0,20 CRT 24 18,00",Case,75,true,
General Beverage Distributor,Beverage,"04168 SAN PELLEG.TONICA ROVERE CL 20X24 0,20 CRT 24 18,00",Case,75,true,
General Beverage Distributor,Beverage,"04033 SCHWEPPES ARANCIO CL.18*24 0,18 CRT 24 16,05",Case,67,true,
General Beverage Distributor,Beverage,"04085 SCHWEPPES GINGER ALECL18*24 0,18 CRT 24 18,75",Case,78,true,
General Beverage Distributor,Beverage,"04157 SCHWEPPES GINGER BEER CL18*24 0,18 CRT 24 18,75",Case,78,true,
General Beverage Distributor,Beverage,"04029 SCHWEPPES LIMONE CL.18*24 0,18 CRT 24 16,05",Case,67,true,
General Beverage Distributor,Beverage,"04277 SCHWEPPES POMP.ROSA CL.18*24 0,17 CRT 24 16,05",Case,67,true,
General Beverage Distributor,Beverage,"04302 SCHWEPPES SELECT. LEMON & QUIN INE CL 20*12 0,20 CRT 12 12,53",Case,104,true,
General Beverage Distributor,Beverage,"04329 SCHWEPPES SELECT. TON/BAS/LIM  CL 20*12 0,20 CRT 12 12,53",Case,104,true,
General Beverage Distributor,Beverage,"04291 SCHWEPPES SELECT. TONICA/lime CL 20*12 0,20 CRT 12 12,53",Case,104,true,
General Beverage Distributor,Beverage,"04072 SCHWEPPES SODA VAP 18*24 0,18 CRT 24 18,75",Case,78,true,
General Beverage Distributor,Beverage,"04028 SCHWEPPES TONICA CL.18*24 0,18 CRT 24 16,05",Case,67,true,
General Beverage Distributor,Beverage,"04221 TASSONI CEDRATA ""ZERO"" CL18*25 0,18 CRT 25 21,00",Case,84,true,
General Beverage Distributor,Beverage,"04043 TASSONI CEDRATA CL.18*25 0,18 CRT 25 21,00",Case,84,true,
General Beverage Distributor,Beverage,"04232 TASSONI CHINOTTO CL 18*25 0,18 CRT 25 21,00",Case,84,true,
General Beverage Distributor,Beverage,"04222 TASSONI GINGER BEER CL.18*25 0,18 CRT 25 21,00",Case,84,true,
General Beverage Distributor,Beverage,"04231 TASSONI POMPELMO SODA CL 18 *25 0,18 CRT 25 21,00",Case,84,true,
General Beverage Distributor,Beverage,"04226 TASSONI SODA WATER CL.18*25 0,18 CRT 25 21,00",Case,84,true,
General Beverage Distributor,Beverage,"04227 TASSONI TONICA SUPERFINE CL 18 *25 0,18 CRT 25 21,00",Case,84,true,
General Beverage Distributor,Beverage,"04325 THE S. BENED. LIMONE DET. CL25 *24 0,25 CRT 24 12,90",Case,54,true,
General Beverage Distributor,Beverage,"04326 THE S. BENED. PESCA DET. CL25 *24 0,25 CRT 24 12,90",Case,54,true,
General Beverage Distributor,Beverage,"04204 THE S.BEN.INDIAN BLACK LIMONE CL 25X16 0,25 CRT 16 19,50",Case,122,true,
General Beverage Distributor,Beverage,"04205 THE S.BEN.INDIAN BLACK PESCA CL 25X16 0,25 CRT 16 19,50",Case,122,true,
General Beverage Distributor,Beverage,"04129 THOMAS HENRY BOTANICAL *24 0,20 CRT 24 31,50",1.5L Unit,131,true,
General Beverage Distributor,Beverage,"04154 THOMAS HENRY GINGER BEER*24 0,20 CRT 24 31,50",1.5L Unit,131,true,
General Beverage Distributor,Beverage,"04245 THOMAS HENRY POMP.ROSA CL20*24 0,20 CRT 24 31,50",1.5L Unit,131,true,
General Beverage Distributor,Beverage,"04152 THOMAS HENRY TONIC WATER*24 0,20 CRT 24 31,50",1.5L Unit,131,true,
General Beverage Distributor,Beverage,"04147 THREE CENTS POMP.ROSA SODA CL 20X24 0,20 CRT 24 24,75",Case,103,true,
General Beverage Distributor,Beverage,"04148 THREE CENTS TONIC DRY CL 20 X 24 0,20 CRT 24 24,75",Case,103,true,
General Beverage Distributor,Beverage,"04180 THREE CENTS TONIC WATER CL 20  X 24 0,20 CRT 24 24,75",Case,103,true,
General Beverage Distributor,Beverage,"04328 COCA ""00"" (zero/caff.free) CL 33X24 VETRO 0,33 CRT 24 19,50",Case,81,true,
General Beverage Distributor,Beverage,"04013 COCA COLA CL 33 X 24 VETRO VAP 0,33 CRT 24 19,50",Case,81,true,
General Beverage Distributor,Beverage,"04015 COCA COLA ZERO CL 33 X 24 VETRO VAP 0,33 CRT 24 19,50",Case,81,true,
General Beverage Distributor,Beverage,"04014 FANTA CL 33 X 24 VETRO VAP 0,33 CRT 24 19,50",Case,81,true,
General Beverage Distributor,Beverage,"04261 GALVANINA AR.ROSSA ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04266 GALVANINA AR.ROSSA-MIRTILLO  ML355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04260 GALVANINA ARANCIATA ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04310 GALVANINA BERGAMOTTO ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04274 GALVANINA BIB.TONICA ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04268 GALVANINA CEDRATA ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04270 GALVANINA CHINOTTO ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04271 GALVANINA COLA ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04269 GALVANINA GASSOSA ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04273 GALVANINA GINGER BEER ML355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04262 GALVANINA LIMONATA ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04265 GALVANINA MAND E FICO ML355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04264 GALVANINA MELAGRANA ML 355X12 0,35 CRT 12 14,10",g,118,true,
General Beverage Distributor,Beverage,"04263 GALVANINA POMP.ROSSO ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04119 GALVANINA THE BIANCO ML 355X12 0,35 CRT 12 14,10",ml,118,true,
General Beverage Distributor,Beverage,"04275 GALVANINA THE LIMONE ML 355X12 0,35 CRT 12 14,10",ml,118,true,
